ì˙ñ{ÇÃÉCÉxÉìÉg	äCäOÇÃÉCÉxÉìÉg	ãGêﬂ	ì˙Ç…Çø	T01	R01	T02	R02	C01	D01	D01R0101	R03	C02	D02	H01	H01P01	C03	C03P01	C03P02	C03P03	C03P04	C03P05	C03P06	C03P07	C03P08	C03P09	C03P10	C03P11	C03P12	C03P13	C03P14	C03P15	C03P16	C03P17	C03P18	C03P19	C03P20	C03P21	R04	D03	D03R0101	C04	C04P01	R05	H02	C05	D05	R06	D06	C06	R07	D07	D07R0101	D07R0601	C07	D08	D08R0101	R08	H03	R09	C08	R10	D09	C09	R11	H04	R12	T03	R13	D10	T04	R14	BC10	WC10	R15	H05	R16	W17	D13	R18	D12	C11	T05
å≥íU	New Year's DayÅiñkïƒÅEÉCÉMÅEÉCÉ^ÅEÉXÅEÉtÅEÉhÅj	èt	1åé1ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
		èt	1åé2ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
		èt	1åé3ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
		èt	1åé4ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
		èt	1åé5ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
	å‰åˆéãÇÃèjì˙ÅiÉCÉ^ÅjÅEéÂå∞êﬂÅiÉXÅjÅEéOâ§óàí©ÅiÉhÅj	èt	1åé6ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
		èt	1åé7ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
		èt	1åé8ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
		èt	1åé9ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
		èt	1åé10ì˙	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	STORM	STORM	STORM	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	RAIN	RAIN	RAIN	RAIN	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY	SUNNY
