図鑑NO	名称	足跡	当たり判定(小、中、大)
1	フシギダネ	有	中
2	フシギソウ	有	中
3	フシギバナ	有	中
4	ヒトカゲ	有	中
5	リザード	有	中
6	リザードン	有	中
7	ゼニガメ	有	中
8	カメール	有	中
9	カメックス	有	中
10	キャタピー	有	中
11	トランセル	無	大
12	バタフリー	有	中
13	ビードル	有	中
14	コクーン	無	大
15	スピアー	有	中
16	ポッポ	有	中
17	ピジョン	有	中
18	ピジョット	有	中
19	コラッタ	有	中
20	ラッタ	有	中
21	オニスズメ	有	中
22	オニドリル	有	中
23	アーボ	無	大
24	アーボック	無	大
25	ピカチュウ	有	中
26	ライチュウ	有	中
27	サンド	有	中
28	サンドパン	有	中
29	ニドラン♀	有	中
30	ニドリーナ	有	中
31	ニドクイン	有	中
32	ニドラン♂	有	中
33	ニドリーノ	有	中
34	ニドキング	有	中
35	ピッピ	有	中
36	ピクシー	有	中
37	ロコン	有	中
38	キュウコン	有	中
39	プリン	有	中
40	プクリン	有	中
41	ズバット	無	大
42	ゴルバット	有	中
43	ナゾノクサ	有	中
44	クサイハナ	有	中
45	ラフレシア	有	中
46	パラス	有	中
47	パラセクト	有	中
48	コンパン	有	中
49	モルフォン	有	中
50	ディグダ	無	大
51	ダグトリオ	無	大
52	ニャース	有	中
53	ペルシアン	有	中
54	コダック	有	中
55	ゴルダック	有	中
56	マンキー	有	中
57	オコリザル	有	中
58	ガーディ	有	中
59	ウインディ	有	中
60	ニョロモ	有	中
61	ニョロゾ	有	中
62	ニョロボン	有	中
63	ケーシィ	有	中
64	ユンゲラー	有	中
65	フーディン	有	中
66	ワンリキー	有	中
67	ゴーリキー	有	中
68	カイリキー	有	中
69	マダツボミ	有	中
70	ウツドン	有	中
71	ウツボット	無	大
72	メノクラゲ	無	大
73	ドククラゲ	無	大
74	イシツブテ	無	大
75	ゴローン	有	中
76	ゴローニャ	有	中
77	ポニータ	有	中
78	ギャロップ	有	中
79	ヤドン	有	中
80	ヤドラン	有	中
81	コイル	有	中
82	レアコイル	有	中
83	カモネギ	有	中
84	ドードー	有	中
85	ドードリオ	有	中
86	パウワウ	無	大
87	ジュゴン	無	大
88	ベトベター	無	大
89	ベトベトン	無	大
90	シェルダー	無	大
91	パルシェン	無	大
92	ゴース	無	大
93	ゴースト	無	大
94	ゲンガー	有	中
95	イワーク	無	大
96	スリープ	有	中
97	スリーパー	有	中
98	クラブ	有	中
99	キングラー	有	中
100	ビリリダマ	無	大
101	マルマイン	無	大
102	タマタマ	無	大
103	ナッシー	有	中
104	カラカラ	有	中
105	ガラガラ	有	中
106	サワムラー	有	中
107	エビワラー	有	中
108	ベロリンガ	有	中
109	ドガース	無	大
110	マタドガス	無	大
111	サイホーン	有	中
112	サイドン	有	中
113	ラッキー	有	中
114	モンジャラ	有	中
115	ガルーラ	有	中
116	タッツー	無	大
117	シードラ	無	大
118	トサキント	無	大
119	アズマオウ	無	大
120	ヒトデマン	有	中
121	スターミー	有	中
122	バリヤード	有	中
123	ストライク	有	中
124	ルージュラ	無	大
125	エレブー	有	中
126	ブーバー	有	中
127	カイロス	有	中
128	ケンタロス	有	中
129	コイキング	無	大
130	ギャラドス	無	大
131	ラプラス	無	大
132	メタモン	無	大
133	イーブイ	有	中
134	シャワーズ	有	中
135	サンダース	有	中
