Ｎｏ,分類,アイテム名,アイテム名：漢字,アイコンキャラ(*.sch),アイコンパレット(*.scl),買値,装備効果,威力,装備効果説明＆発動タイミング,なげつける威力,なげつける効果,しぜんのめぐみ威力,しぜんのめぐみタイプ,ついばむ効果,フィールドバック画面１行目：18文字目安,フィールドバック画面２行目：18文字目安,フィールドバック画面３行目：18文字目安,漢字の説明１,漢字の説明２,漢字の説明３,重要,便利,field保存先,b保存ボール,b保存戦闘用,b保存ＨＰ,b保存状態異常,b保存PP,Ｆ使用,Ｂ使用,ワークタイプ,ワーク,能力ガード,クリティカル,攻撃力,防御力,素早さ,命中率,特殊攻撃,特殊防御,レベルup,pp回復flg　（０＝選択ナシ、１＝選択アリ  ,pp回復値,pp値up,HP努力値,攻撃努力値,防御努力値,素早努力値,特攻努力値,特防努力値,なつき度1　（なつき度100未満）,なつき度2　（なつき度100以上200未満,なつき度3　（なつき度200以上）,眠り回復,毒回復,やけど回復,こおり回復,まひ回復,混乱回復,メロメロ回復,ＨＰ回復,瀕死回復,進化,備考／入手場所…ＦＳ（フレンドリーショップ）
001,ボール,マスターボール,マスターボール,item_001,item_001,000000,0,0,捕獲率100％,0,0,0,ー,0,やせいの　ポケモンを　かならず,つかまえることが　できる,さいこう　せいのうの　ボール。,やせいの　ポケモンを　かならず,つかまえることが　できる,さいこう　せいのうの　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ウツギ研究所：バッジ８個揃えていたら入手、ラジオ塔(コガネ)：ＩＤクジの特等景品。
002,ボール,ハイパーボール,ハイパーボール,item_002,item_002,001200,0,0,捕獲指数2.0,0,0,0,ー,0,スーパーボールよりも　さらに,ポケモンを　つかまえやすくなった,すごく　せいのうのいい　ボール。,スーパーボールよりも　さらに,ポケモンを　つかまえやすくなった,すごく　せいのうのいい　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ＦＳ/デパートで販売。ラジオ塔(コガネ)：ＩＤクジの４等景品。
003,ボール,スーパーボール,スーパーボール,item_003,item_003,000600,0,0,捕獲指数1.5,0,0,0,ー,0,モンスターボールよりも　さらに,ポケモンを　つかまえやすくなった,すこし　せいのうのいい　ボール。,モンスターボールよりも　さらに,ポケモンを　つかまえやすくなった,すこし　せいのうのいい　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ＦＳ/デパートで販売。
004,ボール,モンスターボール,モンスターボール,item_004,item_004,000200,0,0,捕獲指数1.0,0,0,0,ー,0,やせいの　ポケモンに　なげて,つかまえる　ための　ボール。,カプセルしきに　なっている。,やせいの　ポケモンに　なげて,つかまえる　ための　ボール。,カプセルしきに　なっている。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ＦＳ/デパートで販売。アオイの合言葉で入手。
005,ボール,サファリボール,サファリボール,item_005,item_005,000000,0,0,捕獲指数1.5,0,0,0,ー,0,だいしつげんの　なか　だけで,つかう　とくべつな　ボール。,めいさいがらに　なっている。,だいしつげんの　なか　だけで,つかう　とくべつな　ボール。,めいさいがらに　なっている。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
006,ボール,ネットボール,ネットボール,item_006,item_006,001000,0,0,虫・水ポケモンに対して捕獲指数3.0、それ以外1.0,0,0,0,ー,0,みずタイプと　むしタイプの,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,みずタイプと　むしタイプの,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
007,ボール,ダイブボール,ダイブボール,item_007,item_007,001000,0,0,海だと捕獲指数3.5、それ以外1.0,0,0,0,ー,0,みずの　せかいで　くらしている,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,みずの　せかいで　くらしている,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
008,ボール,ネストボール,ネストボール,item_008,item_008,001000,0,0,捕獲指数＝4.0-レベル×0.1（１以下は１とする）,0,0,0,ー,0,つかまえる　やせいの　ポケモンが,よわいほど　つかまえやすくなる,ちょっと　かわった　ボール。,つかまえる　やせいの　ポケモンが,よわいほど　つかまえやすくなる,ちょっと　かわった　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
009,ボール,リピートボール,リピートボール,item_009,item_009,001000,0,0,捕獲したことのあるポケモンの捕獲指数3.0、それ以外1.0,0,0,0,ー,0,つかまえたことの　ある,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,つかまえたことの　ある,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
010,ボール,タイマーボール,タイマーボール,item_010,item_009,001000,0,0,１ターンごとに捕獲指数が0.3上がる。初期値1.0で4.0でカウントストップ。,0,0,0,ー,0,ターンすうが　かかれば　かかるほど,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,ターンすうが　かかれば　かかるほど,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
011,ボール,ゴージャスボール,ゴージャスボール,item_011,item_011,001000,0,0,捕獲指数1.0,0,0,0,ー,0,つかまえた　やせいポケモンが,とても　なつきやすくなる,いごこちの　いい　ボール。,つかまえた　やせいポケモンが,とても　なつきやすくなる,いごこちの　いい　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
012,ボール,プレミアボール,プレミアボール,item_012,item_011,000200,0,0,捕獲指数1.0,0,0,0,ー,0,なにかの　きねんの　しなとして,とくべつに　つくられた,ちょっと　めずらしい　ボール。,なにかの　きねんの　しなとして,とくべつに　つくられた,ちょっと　めずらしい　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,モンスターボールを同時に10個以上買うとオマケでもらえる
013,ボール,ダークボール,ダークボール,item_483,item_483,001000,0,0,夜、洞窟だと捕獲指数3.5、それ以外1.0,0,0,0,ー,0,よるや　どうくつなど　くらいところで,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,よるや　どうくつなど　くらいところで,ポケモンが　つかまえやすくなる,ちょっと　かわった　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
014,ボール,ヒールボール,ヒールボール,item_484,item_484,000300,0,0,捕獲したとき、ＨＰとステータスが回復する,0,0,0,ー,0,つかまえた　ポケモンの　ＨＰと,じょうたい　いじょうを　かいふくする,ちょっと　やさしい　ボール。,つかまえた　ポケモンの　ＨＰと,じょうたい　いじょうを　かいふくする,ちょっと　やさしい　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
015,ボール,クイックボール,クイックボール,item_485,item_485,001000,0,0,最初のターンだと、捕獲指数4.0、それ以外1.0,0,0,0,ー,0,せんとうが　はじまって　すぐに,つかうと　つかまえやすくなる,ちょっと　かわった　ボール。,せんとうが　はじまって　すぐに,つかうと　つかまえやすくなる,ちょっと　かわった　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
016,ボール,プレシャスボール,プレシャスボール,item_486,item_486,000200,0,0,捕獲指数1.0,0,0,0,ー,0,なにかの　きねんの　しなとして,とくべつに　つくられた,かなり　めずらしい　ボール。,なにかの　きねんの　しなとして,とくべつに　つくられた,かなり　めずらしい　ボール。,0,0,NORMAL,1,0,0,0,0,0,BALL,NONE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
017,くすり,キズぐすり,キズぐすり,item_013,item_013,000300,0,20,,30,0,0,ー,0,スプレーしきの　キズぐすり。,ポケモン　１ひきの　ＨＰを,２０だけ　かいふくする。,スプレーしきの　キズぐすり。,ポケモン　１ひきの　ＨＰを,２０だけ　かいふくする。,0,0,DRUG,0,0,1,0,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,ＦＳ/デパートで販売。ウツギ研究所の助手から入手…
018,くすり,どくけし,どくけし,item_014,item_014,000100,0,0,,30,0,0,ー,0,スプレーしきの　くすり。,ポケモン　１ひきの　どくの,じょうたいを　かいふくする。,スプレーしきの　くすり。,ポケモン　１ひきの　どくの,じょうたいを　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ＦＳ/デパートで販売。
019,くすり,やけどなおし,やけどなおし,item_017,item_015,000250,0,0,,30,0,0,ー,0,スプレーしきの　くすり。,ポケモン　１ひきの　やけどの,じょうたいを　かいふくする。,スプレーしきの　くすり。,ポケモン　１ひきの　やけどの,じょうたいを　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ＦＳ/デパートで販売。
020,くすり,こおりなおし,こおりなおし,item_017,item_016,000250,0,0,,30,0,0,ー,0,スプレーしきの　くすり。,ポケモン　１ひきの　こおりの,じょうたいを　かいふくする。,スプレーしきの　くすり。,ポケモン　１ひきの　こおりの,じょうたいを　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ＦＳ/デパートで販売。
021,くすり,ねむけざまし,ねむけざまし,item_017,item_017,000250,0,0,,30,0,0,ー,0,スプレーしきの　くすり。,ポケモン　１ひきの　ねむりの,じょうたいを　かいふくする。,スプレーしきの　くすり。,ポケモン　１ひきの　ねむりの,じょうたいを　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ＦＳ/デパートで販売。
022,くすり,まひなおし,まひなおし,item_017,item_018,000200,0,0,,30,0,0,ー,0,スプレーしきの　くすり。,ポケモン　１ひきの　まひの,じょうたいを　かいふくする。,スプレーしきの　くすり。,ポケモン　１ひきの　まひの,じょうたいを　かいふくする。,0,0,DRUG,0,0,0,1,0,RECOVER,RECOVER,RECOVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ＦＳ/デパートで販売。
