管理No	名称	サイズ	オフセットX	オフセットY	耳	頭	目	顔	胴	腰	手	背面	前面	タイプ	使用効果	反転許可	
0	ピンクの髪留め	GFL_BBD_TEXSIZ_32x32	0	0	2	0	0	0	1	0	0	0	0	キュート	回転	1	
1	ブルーの髪留め	GFL_BBD_TEXSIZ_32x32	0	0	2	0	0	0	1	0	0	0	0	キュート	回転	1	
2	真っ赤な髪留め	GFL_BBD_TEXSIZ_32x32	0	0	2	0	0	0	1	0	0	0	0	キュート	回転	1	
3	青い花	GFL_BBD_TEXSIZ_32x32	0	2	2	0	0	0	1	0	0	0	0	キュート	回転	1	
4	赤いスカーフ	GFL_BBD_TEXSIZ_64x32	-6	2	0	0	0	0	2	0	0	0	0	キュート	回転	0	
5	赤い花	GFL_BBD_TEXSIZ_32x32	0	2	2	0	0	0	1	0	0	0	0	キュート	回転	1	
6	大きな髪留め	GFL_BBD_TEXSIZ_32x32	0	0	0	2	0	0	1	0	0	0	0	キュート	回転	1	
7	カチューシャ	GFL_BBD_TEXSIZ_32x32	0	0	0	2	0	0	0	0	0	0	0	キュート	回転	0	
8	四角いメガネ	GFL_BBD_TEXSIZ_32x32	0	0	0	1	2	0	0	0	0	0	0	エレガント	回転	1	
9	しましま髪留め	GFL_BBD_TEXSIZ_32x32	0	0	2	0	0	0	1	0	0	0	0	キュート	回転	1	
10	小さな髪留め	GFL_BBD_TEXSIZ_32x32	0	0	2	0	0	0	1	0	0	0	0	キュート	発光	1	
11	リボンの飾り	GFL_BBD_TEXSIZ_64x32	0	-8	0	2	0	0	0	0	0	0	0	キュート	回転	1	
12	トートバッグ	GFL_BBD_TEXSIZ_32x32	0	-10	0	0	0	0	0	0	2	0	1	キュート	回転	1	
13	ネックレス	GFL_BBD_TEXSIZ_32x32	-1	-6	0	0	0	0	2	0	0	0	0	エレガント	浮遊	1	
14	派手な花	GFL_BBD_TEXSIZ_32x32	0	2	2	0	0	0	0	0	0	0	0	エレガント	回転	1	
15	丸いボタン	GFL_BBD_TEXSIZ_32x32	0	-8	0	0	0	0	2	0	0	0	0	キュート	回転	1	
16	緑の髪留め	GFL_BBD_TEXSIZ_32x32	-1	5	2	0	0	0	0	0	0	0	0	ユニーク	回転	1	
17	麦わら帽子	GFL_BBD_TEXSIZ_32x32	0	4	0	2	0	0	0	0	0	0	0	ユニーク	回転	1	
18	雪の結晶	GFL_BBD_TEXSIZ_32x32	0	0	2	0	0	0	0	0	1	0	0	エレガント	浮遊	1	
19	一輪の花	GFL_BBD_TEXSIZ_32x64	-3	16	0	0	0	0	0	0	2	0	1	エレガント	発光	1	
20	絵筆	GFL_BBD_TEXSIZ_32x32	0	8	0	0	0	0	0	0	2	0	1	ユニーク	回転	1	
21	ベレー帽	GFL_BBD_TEXSIZ_32x32	2	0	0	2	0	0	0	0	0	0	0	ユニーク	回転	1	
22	泡立て	GFL_BBD_TEXSIZ_32x64	0	16	0	0	0	0	0	0	2	0	1	キュート	回転	1	
23	おたま	GFL_BBD_TEXSIZ_32x64	3	-8	0	0	0	0	0	0	2	0	1	ユニーク	投擲	1	
24	ケーキの模型	GFL_BBD_TEXSIZ_32x32	0	10	0	0	0	0	0	0	2	0	1	キュート	投擲	1	
25	コック帽子	GFL_BBD_TEXSIZ_32x32	0	10	0	2	0	0	0	0	0	0	0	クール	回転	1	
26	フライパン	GFL_BBD_TEXSIZ_32x64	0	15	0	0	0	0	0	0	2	0	1	クール	回転	1	
27	前掛け	GFL_BBD_TEXSIZ_32x32	0	-10	0	0	0	0	2	0	0	0	0	キュート	回転	1	
28	赤い傘	GFL_BBD_TEXSIZ_32x64	0	16	0	0	0	0	0	0	2	0	1	キュート	浮遊	1	
29	風邪マスク	GFL_BBD_TEXSIZ_32x32	-1	-5	0	0	0	2	0	0	0	0	0	ユニーク	使用	1	
30	金槌	GFL_BBD_TEXSIZ_32x32	0	8	0	0	0	0	0	0	2	0	1	ユニーク	投擲	1	
31	カラフルパラソル	GFL_BBD_TEXSIZ_32x64	0	16	0	0	0	0	0	0	2	0	1	キュート	浮遊	0	
32	スパナ	GFL_BBD_TEXSIZ_32x32	0	8	0	0	0	0	0	0	2	0	1	クール	投擲	1	
33	手持ちランプ	GFL_BBD_TEXSIZ_32x32	0	-8	0	0	0	0	0	0	2	0	1	クール	発光	1	
34	ネジ	GFL_BBD_TEXSIZ_32x32	0	5	0	2	0	0	0	0	0	0	0	ユニーク	回転	1	
35	ヘルメット	GFL_BBD_TEXSIZ_32x32	0	2	0	2	0	0	0	0	0	0	0	ユニーク	回転	1	
36	ドレスエプロン	GFL_BBD_TEXSIZ_32x32	-1	-8	0	0	0	0	0	2	0	0	0	エレガント	回転	1	
37	ドレスタイ	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	2	0	0	0	0	エレガント	回転	1	
38	ヘッドドレス	GFL_BBD_TEXSIZ_32x32	0	2	0	2	0	0	0	0	0	0	0	エレガント	回転	1	
39	赤いマント	GFL_BBD_TEXSIZ_64x32	-20	-10	0	0	0	0	2	0	0	1	0	クール	回転	1	
40	玩具の刀	GFL_BBD_TEXSIZ_32x64	1	12	0	0	0	0	0	0	2	0	1	クール	回転	0	
41	玩具の剣	GFL_BBD_TEXSIZ_32x64	0	11	0	0	0	0	0	0	2	0	1	クール	回転	0	
42	海賊帽子	GFL_BBD_TEXSIZ_32x32	0	3	0	2	0	0	0	0	0	0	0	クール	回転	1	
43	カウボーイハット	GFL_BBD_TEXSIZ_32x32	0	4	0	2	0	0	0	0	0	0	0	クール	回転	1	
44	硬い盾	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	2	0	1	クール	投擲	1	
45	黒い翼	GFL_BBD_TEXSIZ_64x32	0	8	0	0	0	0	2	0	0	1	0	クール	回転	1	
46	三角帽子	GFL_BBD_TEXSIZ_32x32	0	8	0	2	0	0	0	0	0	0	0	ユニーク	回転	1	
47	白い翼	GFL_BBD_TEXSIZ_64x32	0	3	0	0	0	0	2	0	0	1	0	キュート	回転	1	
48	茶色バックル	GFL_BBD_TEXSIZ_64x32	0	2	0	0	0	0	0	2	0	0	0	クール	回転	0	
49	角かぶと	GFL_BBD_TEXSIZ_32x32	0	7	0	2	0	0	0	0	0	0	0	クール	回転	1	
50	細い槍	GFL_BBD_TEXSIZ_32x64	-1	12	0	0	0	0	0	0	2	0	1	クール	投擲	0	
51	魔法の杖	GFL_BBD_TEXSIZ_32x64	-2	8	0	0	0	0	0	0	2	0	1	ユニーク	発光	0	
52	赤鼻	GFL_BBD_TEXSIZ_32x32	0	-2	0	0	2	0	0	0	0	0	0	ユニーク	回転	1	
53	カラフル帽子	GFL_BBD_TEXSIZ_64x32	0	5	0	2	0	0	0	0	0	0	0	ユニーク	回転	0	
54	ぐるぐるメガネ	GFL_BBD_TEXSIZ_32x32	0	-1	0	1	2	0	0	0	0	0	0	ユニーク	回転	1	
55	クラウン	GFL_BBD_TEXSIZ_32x32	0	12	0	2	0	0	0	0	0	0	0	エレガント	回転	1	
56	黒いネクタイ	GFL_BBD_TEXSIZ_32x32	0	-8	0	0	0	0	2	0	0	0	0	エレガント	回転	1	
57	黒いマント	GFL_BBD_TEXSIZ_64x32	-16	-8	0	0	0	0	2	0	0	1	0	エレガント	回転	1	
58	ゴージャスメガネ	GFL_BBD_TEXSIZ_32x32	0	0	0	1	2	0	0	0	0	0	0	エレガント	回転	1	
59	シルクハット	GFL_BBD_TEXSIZ_32x32	0	6	0	2	0	0	0	0	1	0	1	エレガント	投擲	1	
60	白い仮面	GFL_BBD_TEXSIZ_32x32	0	2	0	0	0	2	0	0	0	0	0	クール	回転	1	
61	白いマント	GFL_BBD_TEXSIZ_64x32	-16	-8	0	0	0	0	2	0	0	1	0	エレガント	回転	1	
62	紳士の帽子	GFL_BBD_TEXSIZ_32x32	0	6	0	2	0	0	0	0	1	0	1	エレガント	投擲	1	
63	ステッキ	GFL_BBD_TEXSIZ_32x64	3	3	0	0	0	0	0	0	2	0	1	エレガント	回転	0	
64	ナナメネクタイ	GFL_BBD_TEXSIZ_32x32	0	-8	0	0	0	0	2	0	0	0	0	クール	回転	1	
65	小さな時計	GFL_BBD_TEXSIZ_32x32	0	4	0	0	0	0	0	0	2	0	1	エレガント	発光	1	
66	蝶ネクタイ	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	2	0	0	0	0	エレガント	回転	1	
67	ティアラ	GFL_BBD_TEXSIZ_32x32	0	5	0	2	0	0	0	0	0	0	0	エレガント	回転	1	
68	バラの花	GFL_BBD_TEXSIZ_32x64	-2	15	0	0	0	0	0	0	2	0	1	エレガント	投擲	1	
69	モノクル	GFL_BBD_TEXSIZ_32x32	-8	0	0	0	2	0	0	0	0	0	0	エレガント	回転	0	
70	よこじまネクタイ	GFL_BBD_TEXSIZ_32x32	0	-8	0	0	0	0	2	0	0	0	0	クール	回転	1	
71	アフロ	GFL_BBD_TEXSIZ_64x32	-2	6	0	2	0	0	0	0	0	0	0	クール	回転	1	
72	スタンドマイク	GFL_BBD_TEXSIZ_32x64	0	2	0	0	0	0	0	0	2	0	1	クール	回転	0	
73	タンバリン	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	2	0	1	キュート	使用	0	
74	小さな帽子	GFL_BBD_TEXSIZ_32x32	-8	3	0	2	0	0	0	0	0	0	0	キュート	回転	0	
75	マイク	GFL_BBD_TEXSIZ_32x32	0	4	0	0	0	0	0	0	2	0	1	キュート	使用	1	
76	マラカス	GFL_BBD_TEXSIZ_32x32	0	4	0	0	0	0	0	0	2	0	1	ユニーク	使用	1	
77	ラッパ	GFL_BBD_TEXSIZ_32x32	0	-2	0	0	0	0	0	0	2	0	1	エレガント	使用	0	
78	草冠	GFL_BBD_TEXSIZ_32x32	0	2	0	2	0	0	1	0	0	0	0	エレガント	回転	1	
79	白いぼんぼん	GFL_BBD_TEXSIZ_32x32	0	-3	0	0	0	0	0	0	2	0	1	キュート	回転	1	
80	フラッグ	GFL_BBD_TEXSIZ_32x64	-12	8	0	0	0	0	0	0	2	0	1	ユニーク	使用	0	
81	ボール	GFL_BBD_TEXSIZ_32x32	0	4	0	0	0	0	0	0	2	0	1	クール	投擲	1	
82	優勝ベルト	GFL_BBD_TEXSIZ_32x32	0	-2	0	0	0	0	0	2	0	0	0	クール	回転	1	
83	ラケット	GFL_BBD_TEXSIZ_32x64	0	16	0	0	0	0	0	0	2	0	1	クール	回転	1	
84	エレキギター	GFL_BBD_TEXSIZ_32x64	0	12	0	0	0	0	0	0	2	0	1	クール	回転	1	
85	玩具の釣竿	GFL_BBD_TEXSIZ_32x64	-12	18	0	0	0	0	0	0	2	0	1	クール	使用	0	
86	にこにこおめん	GFL_BBD_TEXSIZ_32x32	0	0	0	1	0	2	0	0	0	0	0	ユニーク	回転	1	
87	おへそボタン	GFL_BBD_TEXSIZ_32x32	0	-4	0	0	0	0	0	2	0	0	0	ユニーク	回転	1	
88	博士の帽子	GFL_BBD_TEXSIZ_32x32	-1	4	0	2	0	0	0	0	0	0	0	ユニーク	回転	0	
89	葉っぱのスカート	GFL_BBD_TEXSIZ_64x32	0	-8	0	0	0	0	0	2	0	0	0	ユニーク	回転	1	
90	分厚い本	GFL_BBD_TEXSIZ_32x32	0	4	0	0	0	0	0	0	2	0	1	ユニーク	使用	1	
91	ブーケ	GFL_BBD_TEXSIZ_32x64	0	8	0	0	0	0	0	0	2	0	1	エレガント	投擲	1	
92	骨のレプリカ	GFL_BBD_TEXSIZ_32x64	0	4	0	0	0	0	0	0	2	0	1	ユニーク	投擲	1	
93	まんまるきのこ	GFL_BBD_TEXSIZ_32x32	0	5	0	1	0	0	0	0	2	0	1	ユニーク	投擲	1	
94	手裏剣	GFL_BBD_TEXSIZ_32x32	0	4	0	1	0	0	0	0	2	0	1	クール	投擲	1	
95	赤い帽子	GFL_BBD_TEXSIZ_32x32	-2	6	0	2	0	0	0	0	0	0	0	ユニーク	回転	1	
96	大きな袋	GFL_BBD_TEXSIZ_64x32	-8	-8	0	0	0	0	0	0	2	0	1	ユニーク	発光	0	
97	キャンディ	GFL_BBD_TEXSIZ_32x32	-2	2	0	0	0	0	0	0	2	0	1	キュート	投擲	1	
98	ふさふさのひげ	GFL_BBD_TEXSIZ_32x32	0	-12	0	0	0	2	0	0	0	0	0	エレガント	回転	1	
99	プレゼント箱	GFL_BBD_TEXSIZ_32x32	0	8	0	0	0	0	0	0	2	0	1	キュート	投擲	1	
100	アイテム100	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	ユニーク	回転	0	
101	アイテム101	GFL_BBD_TEXSIZ_32x32	0	0	0	0	0	0	0	0	0	0	1	クール	回転	0	
