answer00,ポケモン
answer01,おめでとう
answer02,デジタル
answer03,おかね
answer04,ラブラブ
answer05,おじさん
answer06,せんせい
answer07,メール
answer08,じてんしゃ
answer09,ダブルバトル
answer10,カメラ
answer11,おふろ
answer12,ポケセン
answer13,こうげき
answer14,シキジカ
answer15,シママ
answer16,ギアル
answer17,エモンガ
answer18,バチュル
answer19,ハトーボー
answer20,ヤナップ
answer21,タブンネ
answer22,デスカーン
answer23,ココロモリ
answer24,ヒヒダルマ
answer25,ママンボウ
answer26,ムシャーナ
answer27,スワンナ
answer28,マッギョ
answer29,なみのり
answer30,たんじょうび
password01,みんな
password02,ハッピー
password03,かんたん
password04,つうしん
