//============================================================================================
/**
 * @file	debug_watanabe.dat
 * @brief	デバッグ＆テスト用データ
 * @date	2007.02.01
 */
//============================================================================================
//------------------------------------------------------------------
/**
 * @brief	データ
 */
//------------------------------------------------------------------
static const char g3DarcPath[] = {"src/sample_graphic/build_model.narc"};
static const char g3DarcPath2[] = {"src/sample_graphic/haruka.narc"};

#include "src/sample_graphic/build_model_id.h"
#include "src/sample_graphic/haruka.naix"

enum {
	G3DRES_HARUKA_BCA = 0,
	G3DRES_HARUKA_BMD,
	G3DRES_MAP_WALL,
	G3DRES_MAP_WALL1,
	G3DRES_MAP_WALL2_1,
	G3DRES_MAP_WALL2_2,
	G3DRES_MAP_WALL3,
	G3DRES_MAP_WALL0,
	G3DRES_MAP_FLOOR,
	G3DRES_ACCE_SWORD,
	G3DRES_ACCE_SHIELD,
	G3DRES_ACCE_HAMMER,
	G3DRES_ACCE_BOW,
	G3DRES_ACCE_STAFF,
	G3DRES_HUMAN_BMD,
	G3DRES_HUMAN_STAY_BCA,
	G3DRES_HUMAN_WALK_BCA,
	G3DRES_HUMAN_RUN_BCA,
	G3DRES_HUMAN2_BMD,
	G3DRES_HUMAN2_STAY_BCA,
	G3DRES_HUMAN2_WALK_BCA,
	G3DRES_HUMAN2_RUN_BCA,
	G3DRES_HUMAN2_ATTACK_BCA,
	G3DRES_HUMAN2_SHOOT_BCA,
	G3DRES_HUMAN2_SPELL_BCA,
	G3DRES_HUMAN2_SIT_BCA,
};

static const GFL_G3D_UTIL_RES g3Dutil_resTbl[] = {
	{ (u32)g3DarcPath2, NARC_haruka_haruka_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_haruka_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_test_wall_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_test_wall1_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_test_wall2_1_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_test_wall2_2_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_test_wall3_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_test_wall0_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_test_floor2_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_sword_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_shield_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_hammer_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_bow_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_staff_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human_nsbmd,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human_stay_nsbca,  GFL_G3D_UTIL_RESPATH },
	{ (u32)g3DarcPath2, NARC_haruka_human_walk_nsbca,  GFL_G3D_UTIL_RESPATH },
