－－－－－－－	ffff
！	0c00
！！	0c01
！？	0c02
？	0c03
…	0c04
…！	0c05
………	0c06
ー	0c07
ーーー	0c08
１０まんボルト	2455
４６４９	2800
ああ	1e00
あーあ	0c09
アーボ	2a17
アーボック	2a18
アーマルド	0187
あーん	0c0a
アイアイサー	2801
アイアンテール	24e7
あいしょう	0600
アイスボール	252d
あいたい	1200
あいて	0a00
アイドル	1a00
あう	1600
あか	0213
あき	1c00
あきらめ	1601
あく	0400
あくしゅう	0401
あくび	2519
あくまのキッス	248e
あくむ	24ab
アゲハント	0124
あげる	1602
あさ	1c01
アサナン	0164
あさのひざし	24ea
あした	1c02
アズマオウ	2a77
アズマオウ	2a77
あせる	1603
あそび	1604
あそびたい	1201
あそぶ	1605
あたし	0a01
アチャモ	0118
あつい	1400
あついしぼう	0402
あった	1401
あっち	1e01
あつめ	1606
あてみなげ	24e9
あなた	0a02
あなたが	0a03
あなたに	0a04
あなたの	0a05
あなたは	0a06
あなたを	0a07
あなをほる	245b
アニメ	1a01
あの	1e02
あのね	0e00
アノプス	0186
あはは	0c0b
あばれる	2425
アバンギャルド	2802
アピール	2200
アブソル	0178
アベック	2803
あまいかおり	24e6
あまえる	24cc
あまごい	24f0
あまり	1402
あめうけざら	0403
アメタマ	0137
あめふらし	0404
アメモース	0138
あやしいひかり	246d
あら	0c0c
あられ	2502
あり	1403
アリアドス	2aa8
ありがじゅう	2804
ありがとう	0800
アリゲイツ	2a9f
ありじごく	0405
ありゃ	1e03
ある	1404
あるき	1607
あるく	1608
アルバイト	1800
あれ	1e04
あれは	1e05
アロマセラピー	2538
あわ	2491
あわてて	1202
アンコール	24e3
あんな	1e06
アンノーン	2ac9
あんまり	0e01
いあいぎり	240f
いい	1405
イーブイ	2a85
いう	1609
いえ	0c0d
イェーイ	2805
イエス	0801
いか	1406
いかく	0406
イカス	2806
いかり	2463
いかりのまえば	24a2
いきおい	1407
いきたい	1203
いく	160a
いくぜ	0802
いくよ	0803
いくわよ	0804
いけ	0601
いける	1408
いしあたま	0407
イシツブテ	2a4a
イシツブテ	2a4a
いじょう	1409
いじわる	0e02
いそがしい	140a
いたします	1000
いたみわけ	24dc
イチコロ	2807
いちども	1c03
いちにち	1c04
いちばん	0602
いちゃもん	2503
いつか	1c05
いっしょに	140b
いって	160b
いっぱい	140c
いつも	1c06
イトマル	2aa7
いとをはく	2451
いない	140d
いのち	2808
イノムー	2add
いばる	24cf
いびき	24ad
イベント	2201
いま	1c07
いや	140e
いやー	0805
いやしのすず	24d7
いやなおと	2467
いらっしゃい	0806
いる	140f
イルミーゼ	0183
いろ	0408
いろちがい	0409
いわ	040a
イワーク	2a5f
いわおとし	2458
いわくだき	24f9
いわなだれ	249d
ウインディ	2a3b
うう	0c0e
うーん	0c0f
うえ	1e07
ウェザーボール	2537
うおー！	0c10
うおりゃー	0c11
うかれて	1204
うずしお	24fa
うそ	0e03
ウソッキー	2ab9
うそなき	2539
うた	1a02
うたう	242f
うち	1801
うつくしい	040b
うつくしさ	040c
ウツドン	2a46
ウツボット	2a47
ウパー	2ac2
うひょー	0c12
うふふ	0c13
うふん	0c14
うまい	1410
うまく	1411
うむ	0e04
うらみ	24b4
ウリムー	2adc
うるさい	1412
うれしい	1205
うれしさ	1206
うろうろ	2000
うわー	0c15
うわーん	0c16
エアームド	2ae3
エアームド	2ae3
エアカッター	253a
エアロック	040d
エアロブラスト	24b1
えいえん	1c08
えいが	1a03
エイパム	2abe
ええ	0c17
えー	0c18
エーフィ	2ac4
えーん	0c19
エキサイト	1207
エスパー	040e
エネコ	013b
エネコロロ	013c
エビワラー	2a6b
えへへ	0c1a
エメラルド	021a
えらい	1208
エレキッド	2aef
エレブー	2a7d
エンテイ	2af4
えんまく	246c
おい	0c1b
おいうち	24e4
おうふくビンタ	2403
オウムがえし	2477
おお	0c1c
オー	0c1d
おーい	0807
おおきい	1413
オオスバメ	0131
オーダイル	2aa0
オオタチ	2aa2
オーバーヒート	253b
オーロラビーム	243e
おかあさん	0a08
おかし	1a04
おかしい	1209
おかね	1802
おき	160c
おきみやげ	2506
おきゃん	2809
おく	1e08
オクタン	2ae0
オクタンほう	24be
おくれ	1414
おこづかい	1803
おこり	160d
オコリザル	2a39
おこる	160e
おしい	1415
おじいさん	0a09
おしえ	160f
おしえて	1610
おじさん	0a0a
おしゃべり	1a05
おすすめ	0e05
オタチ	2aa1
おだてる	2504
オッケー	120a
おっす	0808
おっと	0c1e
おとうさん	0a0b
おとこのこ	0a0c
オドシシ	2aea
おととい	1c09
おとな	0a0d
おとなしい	1416
おどろかす	2536
おにいさん	0a0e
オニゴーリ	015b
オニスズメ	2a15
オニドリル	2a16
おにび	2505
おニュー	280a
おねえさん	0a0f
おねがい	1611
おばあさん	0a10
おばかさん	0e06
おばさん	0a11
おふろ	1804
おぼえ	1612
おままごと	1a06
オムスター	2a8b
オムナイト	2a8a
おめでとう	0809
おもしろい	1417
おもしろく	1418
おもちゃ	1a07
おや	0a12
オヤジ	0a13
おります	1001
おるすばん	2202
おれさま	0a14
おわり	1c0a
おんがえし	24d8
おんがく	1a08
おんなのこ	0a15
おんねん	2520
か	1002
ガーディ	2a3a
カード	1a09
ガール	0a16
がーん	0c1f
かい	1003
カイオーガ	0194
かいもの	1a0a
かいりき	2446
カイリキー	2a44
カイリキー	2a44
かいりきバサミ	040f
カイリュー	2a95
カイロス	2a7f
カイロス	2a7f
かいわ	1805
カウンター	2444
かえりたい	120b
かえる	1613
かえんぐるま	24ac
かえんほうしゃ	2435
かぎわける	253c
かくご	0603
かくとう	0410
かくばる	249f
カクレオン	013d
かげふみ	0411
かげぶんしん	2468
カゲボウズ	0179
かしこい	0412
かしこさ	0413
かしら	1004
かぜおこし	2410
かそく	0414
かぞく	0a17
がたがた	2001
かたくなる	246a
かたせて	0604
かたり	1614
かち	0605
カチカチ	2002
かつ	0606
がつがつ	2003
がっかり	120c
がっくし	120d
かっこいい	0415
がっこう	1806
かっこよさ	0416
かった	0607
かったら	0608
かって	0609
かてない	060a
かてる	060b
かな？	1005
かなしい	120e
かなしばり	2432
かなり	0e07
かなわない	060c
かのじょ	0a18
カビゴン	2a8f
カブト	2a8c
カブトアーマー	0417
カブトプス	2a8d
カポエラー	2aed
かまいたち	240d
がまん	1615
がまん	1615
かみくだく	24f2
かみつく	242c
かみなり	2457
かみなりパンチ	2409
がむしゃら	251b
カメール	2a08
カメックス	2a09
カメラ	1a0b
かも	1006
カモネギ	2a53
かようび	1c0b
から	0e08
カラカラ	2a68
ガラガラ	2a69
からげんき	2507
カラサリス	0123
からてチョップ	2402
からではさむ	2480
からにこもる	246e
からみつく	2484
ガルーラ	2a73
かれ	0a19
かわいい	0418
かわいがって	1616
かわいさ	0419
かわらわり	2518
かんしょう	1a0c
がんじょう	041a
がんせきふうじ	253d
かんせん	1a0d
がんばって	120f
がんばる	1210
かんぺき	1419
きあい	060d
きあいだめ	2474
きあいパンチ	2508
きいて	1617
きがしない	1211
きがする	1212
ギガドレイン	24ca
ききたい	1213
きく	1618
きしかいせい	24b3
きたえ	1619
きつけ	2509
きになる	1214
きねん	1807
きのう	1c0c
キノガッサ	0133
キノココ	0132
キノコのほうし	2493
きのせい	1215
きのみ	2203
キバニア	014a
きぶん	0e09
キマワリ	2ac0
きみ	0a1a
きみが	0a1b
きみに	0a1c
きみにきめた！	0200
きみの	0a1d
きみは	0a1e
きみを	0a1f
きめ	161a
きめた	060e
キモリ	0115
キャー	0c20
ギャー	0c21
キャタピー	2a0a
ぎゃふん	280b
キャモメ	0135
ギャラドス	2a82
ギャラドス	2a82
ギャロップ	2a4e
ぎゅうぎゅう	2004
きゅうけつ	248d
キュウコン	2a26
キュウコン	2a26
きゅうばん	041b
きょう	1c0d
きょうだい	0a20
きらい	1216
きりさく	24a3
きりふだ	060f
キリンリキ	2acb
キリンリキ	2acb
キルリア	0189
キレイハナ	2ab6
キレイハナ	2ab6
ぎんいろのかぜ	253e
キングドラ	2ae6
キングドラ	2ae6
キングラー	2a63
きんぞくおん	253f
きんようび	1c0e
くさ	041c
クサイハナ	2a2c
クサイハナ	2a2c
くさぶえ	2540
クスクス	2005
くすぐる	2541
くせ	1808
ください	080a
クチート	0163
クヌギダマ	2acc
ぐふふ	0c22
クモのす	24a9
くやしい	1217
くやしさ	1218
グラードン	0195
グライガー	2acf
くらえ	0610
グラエナ	011f
クラッシュ	2216
クラブ	2a62
クラブハンマー	2498
グランブル	2ad2
クリアボディ	041d
グリーン	0214
くる	161b
グループ	1809
くるくる	2006
グルグル	2007
グルメ	1a0e
くれ	1007
くろいきり	2472
くろいまなざし	24d4
クロスチョップ	24ee
クロバット	2aa9
クロバット	2aa9
くん	0a21
ケーシィ	2a3f
ケーシィ	2a3f
ゲーム	1a0f
げきりゅう	041e
げきりん	24c8
けたぐり	2443
げっ	0c23
ケッキング	016e
けっこう	141a
ゲット	0201
げつようび	1c0f
けど	0e0a
ケムッソ	0122
ゲンガー	2a5e
げんき	141b
げんしのちから	24f6
ケンタロス	2a80
こい！	0611
コイキング	2a81
コイキング	2a81
コイル	2a51
コイル	2a51
こう	1e09
こうかん	0202
こうげき	0612
こうごうせい	24eb
こうさん	0613
こうそくいどう	2461
こうそくスピン	24e5
ゴース	2a5c
ゴースト	041f
ゴースト	041f
コータス	0141
こおり	0420
ゴーリキー	2a43
ゴーリキー	2a43
コクーン	2a0e
ごくごく	2008
ゴクリン	016f
こごえるかぜ	24c4
ココドラ	017e
こころのめ	24aa
ございます	1008
コスモパワー	2542
こそ	0e0b
コダック	2a36
コダック	2a36
ごっこ	1a10
こっち	1e0a
ゴッドバード	248f
こと	0e0c
ことば	180a
こども	0a22
コドラ	017f
こない	161c
こなゆき	24b5
ゴニョニョ	0172
この	1e0b
このあと	1c10
コノハナ	012b
このまえ	1c11
このゆびとまれ	250a
ゴマゾウ	2ae7
ゴマゾウ	2ae7
コメットパンチ	2535
ゴメン	080b
ごめんなさい	080c
ごめんね	080d
コモルー	018c
こらえる	24cb
こらっ	080e
コラッタ	2a13
こりゃ	1e0c
ゴルダック	2a37
ゴルダック	2a37
ゴルバット	2a2a
ゴルバット	2a2a
これ	1e0d
コレクション	1a11
これだ	1e0e
これは	1e0f
ゴローニャ	2a4c
ゴローニャ	2a4c
ゴローン	2a4b
ゴローン	2a4b
ころがる	24cd
ごろごろ	2009
こわい	1219
